SAMPLE_ID,XYZ_X,XYZ_Y,XYZ_Z,LAB_L,LAB_A,LAB_B,LAB_C,LAB_H,D_RED,D_GREEN,D_BLUE,D_VIS,STDEV_X,STDEV_Y,STDEV_Z,MEAN_DE,STDEV_DE,R,G,B,dR,dG,dB
J3,3.27,2.18,8.95,16.38,22.28,-39.54,45.38,299.4,1.61,1.75,0.99,1.69,0.04,0.04,0.09,0.37,0.46,17.3538,15.6587,38.0571,0.895204,0.798129,0.597968
J4,4.05,2.1,19.08,15.98,35.98,-67.61,76.59,298.02,2.18,1.69,0.67,1.82,0.02,0.02,0.08,0.13,0.14,9.95201,16.8368,55.4852,0.794227,0.459503,0.47293
J5,12.49,12.15,13.82,41.45,5.33,-11.2,12.4,295.45,0.87,0.93,0.77,0.92,0.06,0.06,0.1,0.32,0.38,36.8051,31.2293,43.7985,0.5492,0.466388,0.661922
J6,13.35,12.18,17.46,41.5,10.84,-20.03,22.78,298.42,0.85,0.94,0.68,0.92,0.11,0.07,0.16,0.38,0.45,38.3563,31.4246,50.4313,0.530268,0.489819,0.628346
J7,14.34,12.26,22.37,41.63,16.51,-30.08,34.31,298.76,0.84,0.95,0.58,0.91,0.05,0.06,0.21,0.39,0.47,38.8712,31.7784,58.8779,0.536832,0.437548,0.702968
J8,16.16,11.95,36.2,41.14,29.39,-53.45,61,298.81,0.86,0.98,0.39,0.94,0.05,0.07,0.08,0.22,0.31,38.0555,32.9493,78.4986,0.66729,0.538536,0.582164
J9,43.3,43.84,41.11,72.12,3.06,-6.62,7.29,294.82,0.34,0.36,0.31,0.36,0.16,0.21,0.19,0.35,0.39,72.5714,66.4255,76.3556,0.604253,0.507842,0.64947
J10,43.94,43.92,45.33,72.18,4.71,-11.77,12.68,291.82,0.34,0.36,0.27,0.36,0.24,0.26,0.21,0.28,0.35,73.2638,67.1176,81.8319,0.55879,0.43657,0.626965
J11,45.03,43.96,49.12,72.2,7.74,-16.16,17.92,295.59,0.33,0.37,0.23,0.36,0.09,0.11,0.17,0.2,0.23,74.3263,67.0467,86.8484,0.585767,0.47726,0.703087
J12,46.66,43.36,56.35,71.8,14.1,-24.74,28.47,299.68,0.32,0.39,0.18,0.36,0.13,0.15,0.16,0.31,0.35,76.0436,65.7712,95.7164,0.601774,0.492377,0.527302
